DateTime,Time,MeasurementCount,OverallJudgment,#d1,#d2,Judgment1,Judgment2,Judgment3,Judgment4,WireLength,WireWidth,TerminalWidth,WireTerminalDistance,WireAngle,InspectionArea,UnpeeledArea,#go,#auto,OutputBufferMargin
28/08/2024,23:48:03,68279159,OK,0,0,0,0,0,0,0.27954,0.06004,0.08532,0.1896,86.05859,0.00967,0,1,0,100
28/08/2024,23:48:03,68279158,OK,0,0,0,0,0,0,0.27954,0.06004,0.08532,0.1896,86.05859,0.00967,0,2,1,100
28/08/2024,23:48:03,68279157,OK,0,0,0,0,0,0,0.19838,0.06004,0.08848,0.20066,82.64844,0.00739,0,1,0,100
28/08/2024,23:48:03,68279156,OK,0,0,0,0,0,0,0.19838,0.06004,0.08848,0.20066,82.64844,0.00739,0,1,1,100
28/08/2024,23:48:03,68279155,OK,0,0,0,0,0,0,0.20496,0.0632,0.08216,0.17064,84.56641,0.00755,0,1,0,100
28/08/2024,23:48:03,68279154,OK,0,0,0,0,0,0,0.20496,0.0632,0.08216,0.17064,84.56641,0.00755,0,4,1,100
28/08/2024,23:48:02,68279153,OK,0,0,0,0,0,0,0.26296,0.06004,0.0948,0.18486,84.25,0.00931,0,1,0,100
28/08/2024,23:48:02,68279152,OK,0,0,0,0,0,0,0.26296,0.06004,0.0948,0.18486,84.25,0.00931,0,3,1,100
28/08/2024,23:48:02,68279151,OK,0,0,0,0,0,0,0.2835,0.06004,0.08848,0.20698,87.00781,0.00975,0,1,0,100
28/08/2024,23:48:02,68279150,OK,0,0,0,0,0,0,0.2835,0.06004,0.08848,0.20698,87.00781,0.00975,0,2,1,100
28/08/2024,23:48:02,68279149,OK,0,0,0,0,0,0,0.20395,0.06004,0.09164,0.20856,81.69531,0.00753,0,1,0,100
28/08/2024,23:48:02,68279148,OK,0,0,0,0,0,0,0.20395,0.06004,0.09164,0.20856,81.69531,0.00753,0,1,1,100
28/08/2024,23:48:02,68279147,OK,0,0,0,0,0,0,0.2085,0.06004,0.09164,0.1738,84.16406,0.00762,0,1,0,100
28/08/2024,23:48:01,68279146,OK,0,0,0,0,0,0,0.2085,0.06004,0.09164,0.1738,84.16406,0.00762,0,4,1,100
28/08/2024,23:48:01,68279145,OK,0,0,0,0,0,0,0.26596,0.06004,0.0948,0.17222,85.72656,0.00938,0,1,0,100
28/08/2024,23:48:01,68279144,OK,0,0,0,0,0,0,0.26596,0.06004,0.0948,0.17222,85.72656,0.00938,0,3,1,100
28/08/2024,23:48:01,68279143,OK,0,0,0,0,0,0,0.28156,0.06004,0.08848,0.20698,88.78125,0.00969,0,1,0,100
28/08/2024,23:48:01,68279142,OK,0,0,0,0,0,0,0.28156,0.06004,0.08848,0.20698,88.78125,0.00969,0,2,1,100
28/08/2024,23:48:01,68279141,OK,0,0,0,0,0,0,0.20448,0.06004,0.0948,0.2133,81.15625,0.00755,0,1,0,100
28/08/2024,23:48:01,68279140,OK,0,0,0,0,0,0,0.20448,0.06004,0.0948,0.2133,81.15625,0.00755,0,1,1,100
28/08/2024,23:48:01,68279139,OK,0,0,0,0,0,0,0.22531,0.0632,0.08848,0.17696,82.63672,0.00796,0,1,0,100
28/08/2024,23:48:00,68279138,OK,0,0,0,0,0,0,0.22531,0.0632,0.08848,0.17696,82.63672,0.00796,0,4,1,100
28/08/2024,23:48:00,68279137,OK,0,0,0,0,0,0,0.19383,0.06004,0.09164,0.23068,80.11719,0.00794,0,1,0,100
28/08/2024,23:48:00,68279136,OK,0,0,0,0,0,0,0.19383,0.06004,0.09164,0.23068,80.11719,0.00794,0,3,1,100
28/08/2024,23:48:00,68279135,OK,0,0,0,0,0,0,0.21067,0.06004,0.08848,0.17854,89.67187,0.00832,0,1,0,100
28/08/2024,23:48:00,68279134,OK,0,0,0,0,0,0,0.21067,0.06004,0.08848,0.17854,89.67187,0.00832,0,2,1,100
28/08/2024,23:48:00,68279133,OK,0,0,0,0,0,0,0.22092,0.06004,0.0948,0.20698,82.30859,0.00788,0,1,0,100
28/08/2024,23:48:00,68279132,OK,0,0,0,0,0,0,0.22092,0.06004,0.0948,0.20698,82.30859,0.00788,0,1,1,100
28/08/2024,23:47:59,68279131,OK,0,0,0,0,0,0,0.23091,0.0632,0.08532,0.17538,83.53125,0.00806,0,1,0,100
28/08/2024,23:47:59,68279130,OK,0,0,0,0,0,0,0.23091,0.0632,0.08532,0.17538,83.53125,0.00806,0,4,1,100
28/08/2024,23:47:59,68279129,OK,0,0,0,0,0,0,0.19526,0.06004,0.0948,0.23858,80.37109,0.008,0,1,0,100
28/08/2024,23:47:59,68279128,OK,0,0,0,0,0,0,0.19526,0.06004,0.0948,0.23858,80.37109,0.008,0,3,1,100
28/08/2024,23:47:59,68279127,OK,0,0,0,0,0,0,0.19928,0.06004,0.09164,0.18644,89.90234,0.0081,0,1,0,100
28/08/2024,23:47:59,68279126,OK,0,0,0,0,0,0,0.19928,0.06004,0.09164,0.18644,89.90234,0.0081,0,2,1,100
28/08/2024,23:47:59,68279125,OK,0,0,0,0,0,0,0.21769,0.0632,0.09164,0.21646,81.15234,0.00782,0,1,0,100
28/08/2024,23:47:59,68279124,OK,0,0,0,0,0,0,0.21769,0.0632,0.09164,0.21646,81.15234,0.00782,0,1,1,100
