DateTime,Time,MeasurementCount,OverallJudgment,SP_No,SP_Side,S1X,S1Y,S1L,S2X,S2Y,S2L,F1X,F1Y,F1L,F2X,F2Y,F2L,OutputBufferMargin
29/08/2024,20:52.0,8442321,OK,8,2,2.42921,1.18808,0.18355,2.4219,1.27414,0.19236,2.41808,1.2357,0.1782,2.44011,1.21989,0.20417,100
29/08/2024,20:52.0,8442320,OK,9,1,2.4112,1.18557,0.17917,2.43786,1.28791,0.17216,2.46931,1.27946,0.19362,2.43428,1.20739,0.21241,100
29/08/2024,20:52.0,8442319,OK,9,2,2.42521,1.18728,0.1885,2.42022,1.28258,0.17366,2.44995,1.29985,0.19339,2.45085,1.18768,0.22415,100
29/08/2024,20:52.0,8442318,OK,10,1,2.42709,1.18304,0.19461,2.42149,1.23194,0.18579,2.45778,1.26207,0.21219,2.44646,1.21306,0.22392,100
29/08/2024,20:52.0,8442317,OK,10,2,2.42429,1.18756,0.1891,2.43181,1.23224,0.18425,2.47265,1.26443,0.21505,2.46316,1.20355,0.23798,100
29/08/2024,20:52.0,8442316,OK,11,1,2.44662,1.17769,0.21138,2.43661,1.25878,0.20201,2.45099,1.17513,0.20606,2.44268,1.27783,0.21703,100
29/08/2024,20:52.0,8442315,OK,11,2,2.46182,1.17311,0.21757,2.41861,1.33027,0.18145,2.44592,1.19478,0.19789,2.44537,1.25177,0.21062,100
29/08/2024,20:52.0,8442314,OK,12,1,2.43305,1.18209,0.19429,2.45882,1.19105,0.20426,2.47629,1.22843,0.21162,2.44005,1.24089,0.21142,100
29/08/2024,20:52.0,8442313,OK,12,2,2.44186,1.18499,0.20931,2.43421,1.28594,0.18992,2.49875,1.24959,0.24447,2.48562,1.2204,0.26309,100
29/08/2024,20:40.0,8442312,OK,1,1,2.42267,1.18876,0.18678,2.44236,1.29524,0.19641,2.4537,1.29778,0.19776,2.42271,1.18672,0.19682,100
29/08/2024,20:40.0,8442311,OK,1,2,2.41858,1.17974,0.18151,2.43028,1.2818,0.18613,2.45723,1.30343,0.20311,2.4569,1.17898,0.22984,100
29/08/2024,20:40.0,8442310,OK,2,1,2.43103,1.16947,0.18951,2.40437,1.23709,0.17228,2.44627,1.26576,0.20447,2.44025,1.22412,0.20834,100
29/08/2024,20:40.0,8442309,OK,2,2,2.41944,1.1703,0.19066,2.43355,1.27425,0.1842,2.47086,1.24167,0.21161,2.42573,1.24657,0.20725,100
29/08/2024,20:40.0,8442308,OK,3,1,2.41628,1.18469,0.18767,2.42523,1.26277,0.17081,2.44388,1.24397,0.17954,2.41146,1.23082,0.1931,100
29/08/2024,20:40.0,8442307,OK,3,2,2.41657,1.19153,0.17992,2.44127,1.25567,0.19026,2.44402,1.21078,0.18308,2.41931,1.27364,0.19279,100
29/08/2024,20:40.0,8442306,OK,4,1,2.40341,1.1601,0.16264,2.42012,1.27771,0.18369,2.4219,1.2575,0.1754,2.43703,1.21964,0.20593,100
29/08/2024,20:40.0,8442305,OK,4,2,2.42881,1.18042,0.1994,2.42876,1.29704,0.17973,2.45806,1.22072,0.19929,2.42778,1.21983,0.2085,100
29/08/2024,20:40.0,8442304,OK,5,1,2.40569,1.17498,0.18176,2.44146,1.23187,0.18196,2.42347,1.22111,0.15401,2.38629,1.26087,0.17323,100
29/08/2024,20:40.0,8442303,OK,5,2,2.4329,1.19487,0.20023,2.43903,1.26492,0.20135,2.42059,1.2127,0.17282,2.40386,1.26705,0.18106,100
29/08/2024,20:40.0,8442302,OK,6,1,2.40778,1.1867,0.17315,2.45302,1.24362,0.19617,2.46849,1.255,0.20155,2.41992,1.23664,0.19552,100
29/08/2024,20:40.0,8442301,OK,6,2,2.42515,1.18022,0.1991,2.45013,1.28919,0.19813,2.46906,1.22481,0.20743,2.42834,1.2363,0.21261,100
29/08/2024,20:39.0,8442300,OK,7,1,2.41404,1.19429,0.17708,2.44934,1.24663,0.19289,2.47809,1.23252,0.21167,2.41351,1.2351,0.18669,100
29/08/2024,20:39.0,8442299,OK,7,2,2.43192,1.19297,0.19999,2.44166,1.26627,0.19993,2.46067,1.2512,0.20894,2.422,1.21583,0.20007,100
29/08/2024,20:39.0,8442298,OK,8,1,2.41785,1.19016,0.18396,2.42878,1.22902,0.17408,2.42552,1.23465,0.16077,2.39642,1.25666,0.1728,100
29/08/2024,20:39.0,8442297,OK,8,2,2.42393,1.1896,0.17616,2.4229,1.26297,0.17434,2.43276,1.2389,0.17414,2.43285,1.22252,0.19497,100
29/08/2024,20:39.0,8442296,OK,9,1,2.42561,1.19147,0.17475,2.41792,1.28069,0.16974,2.4456,1.27517,0.18743,2.45088,1.20721,0.20997,100
29/08/2024,20:39.0,8442295,OK,9,2,2.42946,1.1908,0.18685,2.40447,1.32883,0.17264,2.44826,1.27446,0.20605,2.46653,1.1977,0.23391,100
29/08/2024,20:39.0,8442294,OK,10,1,2.43443,1.19989,0.19365,2.42066,1.23395,0.17997,2.4446,1.27683,0.19412,2.44358,1.20796,0.21278,100
29/08/2024,20:39.0,8442293,OK,10,2,2.41683,1.19317,0.18012,2.43103,1.25207,0.17268,2.48023,1.25951,0.21182,2.46116,1.19823,0.23446,100
29/08/2024,20:39.0,8442292,OK,11,1,2.44476,1.17963,0.21444,2.44197,1.25786,0.1998,2.4449,1.18472,0.19278,2.43513,1.26305,0.21487,100
29/08/2024,20:39.0,8442291,OK,11,2,2.469,1.17661,0.21938,2.42542,1.27098,0.19064,2.43823,1.19762,0.19278,2.44239,1.25314,0.20205,100
29/08/2024,20:39.0,8442290,OK,12,1,2.4429,1.18766,0.19807,2.45263,1.19591,0.2037,2.46624,1.22061,0.20738,2.44978,1.23922,0.21483,100
29/08/2024,20:39.0,8442289,OK,12,2,2.45347,1.19996,0.20477,2.41999,1.24481,0.18905,2.48864,1.25245,0.24787,2.48996,1.22446,0.25104,100
29/08/2024,20:27.0,8442288,OK,1,1,2.43466,1.19534,0.18739,2.43889,1.30073,0.20407,2.44826,1.2282,0.20286,2.43207,1.21102,0.19471,100
29/08/2024,20:27.0,8442287,OK,1,2,2.42776,1.18826,0.18165,2.42577,1.27859,0.1904,2.44291,1.29194,0.19771,2.44818,1.19375,0.21207,100
29/08/2024,20:27.0,8442286,OK,2,1,2.42694,1.17399,0.18056,2.4066,1.22851,0.17753,2.45532,1.26009,0.21668,2.45018,1.2389,0.21312,100
29/08/2024,20:27.0,8442285,OK,2,2,2.42612,1.1818,0.19065,2.43516,1.2546,0.19307,2.45626,1.22783,0.20414,2.41916,1.25684,0.1936,100
29/08/2024,20:27.0,8442284,OK,3,1,2.42401,1.18467,0.19152,2.43054,1.27211,0.18507,2.43178,1.22623,0.17636,2.42691,1.23651,0.20448,100
29/08/2024,20:27.0,8442283,OK,3,2,2.43016,1.19382,0.19882,2.43212,1.25742,0.19704,2.42591,1.2122,0.18074,2.41828,1.25015,0.19681,100
29/08/2024,20:27.0,8442282,OK,4,1,2.429,1.18364,0.20196,2.44444,1.26854,0.19996,2.44083,1.25041,0.18638,2.4242,1.22107,0.20726,100
29/08/2024,20:27.0,8442281,OK,4,2,2.43456,1.17198,0.2031,2.41681,1.28817,0.18273,2.44597,1.22875,0.20174,2.43355,1.22111,0.21195,100
29/08/2024,20:27.0,8442280,OK,5,1,2.42583,1.17672,0.18466,2.42473,1.24541,0.17583,2.40337,1.20721,0.14444,2.4034,1.25712,0.17216,100
29/08/2024,20:27.0,8442279,OK,5,2,2.42806,1.19154,0.18655,2.44504,1.25263,0.19063,2.42832,1.19916,0.16396,2.3894,1.28344,0.15799,100
29/08/2024,20:26.0,8442278,OK,6,1,2.41148,1.18442,0.19058,2.44552,1.25536,0.19843,2.4621,1.25124,0.20499,2.42645,1.22767,0.2158,100
29/08/2024,20:26.0,8442277,OK,6,2,2.42557,1.16856,0.18475,2.463,1.26693,0.20724,2.45824,1.2365,0.19253,2.4068,1.24787,0.17613,100
29/08/2024,20:26.0,8442276,OK,7,1,2.41653,1.18978,0.18224,2.43713,1.25727,0.19977,2.46613,1.24762,0.21877,2.43624,1.23318,0.21184,100
29/08/2024,20:26.0,8442275,OK,7,2,2.43232,1.19509,0.19321,2.44165,1.25957,0.19666,2.45901,1.23195,0.20399,2.41654,1.22023,0.1874,100
29/08/2024,20:26.0,8442274,OK,8,1,2.42776,1.18809,0.18984,2.42466,1.22191,0.18051,2.4169,1.22141,0.16276,2.41262,1.24561,0.18461,100
29/08/2024,20:26.0,8442273,OK,8,2,2.41872,1.18707,0.19266,2.43121,1.2607,0.18828,2.44186,1.22489,0.18902,2.4255,1.21398,0.2095,100
29/08/2024,20:26.0,8442272,OK,9,1,2.4299,1.19241,0.19684,2.42879,1.29115,0.19157,2.45011,1.25066,0.2028,2.44783,1.21663,0.22472,100
29/08/2024,20:26.0,8442271,OK,9,2,2.42474,1.18493,0.17979,2.4077,1.28065,0.17613,2.4469,1.28404,0.20543,2.46146,1.19045,0.22651,100
